# Forces      
# CofR        : (2.875000e-01 1.270000e-01 2.286000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-4.125804e-04 -1.479637e-03 3.084611e-01)) ((0.000000e+00 0.000000e+00 0.000000e+00) (6.417557e-03 3.804546e-04 9.534567e-06))
1             	((-1.364625e-02 -4.841398e-02 1.977355e+00) (-4.409151e-04 -1.775626e-03 3.073419e-01)) ((1.347161e-02 2.983167e-03 9.912672e-04) (6.310780e-03 4.031944e-04 4.181135e-06))
2             	((-2.335222e-02 -5.801879e-02 4.194007e+00) (-3.161108e-04 -1.663724e-03 2.984714e-01)) ((2.470490e-02 5.912887e-03 2.584537e-03) (6.050065e-03 4.203274e-04 -8.106781e-06))
3             	((-3.914717e-02 -3.895385e-02 5.721187e+00) (-1.570914e-04 -1.002716e-03 2.831912e-01)) ((2.840008e-02 7.422142e-03 4.192909e-03) (5.717711e-03 4.051065e-04 -9.902289e-06))
4             	((-6.000875e-02 -4.494515e-02 6.019435e+00) (-5.356904e-05 -5.339241e-04 2.656013e-01)) ((2.419016e-02 7.780956e-03 5.600918e-03) (5.378043e-03 3.966837e-04 -2.840588e-05))
5             	((-7.814018e-02 -7.215734e-02 5.326300e+00) (5.236906e-05 -2.523328e-04 2.493465e-01)) ((1.444865e-02 7.334900e-03 6.611808e-03) (5.069799e-03 3.626820e-04 -4.850364e-05))
6             	((-9.368821e-02 -1.336284e-01 4.142030e+00) (1.093437e-04 -1.672471e-04 2.360971e-01)) ((2.979369e-03 6.284447e-03 8.656795e-03) (4.822456e-03 3.266576e-04 -6.668379e-05))
7             	((-9.629704e-02 -1.737227e-01 3.041552e+00) (2.056527e-04 -2.766545e-04 2.260214e-01)) ((-5.774721e-03 5.340989e-03 1.097714e-02) (4.656016e-03 3.082180e-04 -6.701489e-05))
8             	((-8.269421e-02 -1.389751e-01 2.418898e+00) (2.775951e-04 -3.177955e-04 2.183716e-01)) ((-1.003873e-02 5.121067e-03 1.209989e-02) (4.518187e-03 2.900405e-04 -6.573026e-05))
9             	((-6.058024e-02 -3.580135e-02 2.330621e+00) (3.277388e-04 -1.751036e-04 2.121654e-01)) ((-1.125129e-02 5.338308e-03 1.186656e-02) (4.386775e-03 2.744622e-04 -6.403973e-05))
10            	((-3.544979e-02 1.070805e-01 2.577052e+00) (3.196417e-04 6.810000e-05 2.065201e-01)) ((-1.156885e-02 5.824944e-03 1.028564e-02) (4.248375e-03 2.678277e-04 -6.611987e-05))
11            	((-1.118908e-02 2.687477e-01 2.963697e+00) (2.859756e-04 3.805756e-04 2.010580e-01)) ((-1.286960e-02 6.438986e-03 7.453698e-03) (4.100023e-03 2.607988e-04 -6.891660e-05))
12            	((3.222802e-03 3.872999e-01 3.271790e+00) (2.645705e-04 6.906838e-04 1.957132e-01)) ((-1.513975e-02 6.604590e-03 4.387435e-03) (3.951753e-03 2.514642e-04 -7.437062e-05))
13            	((4.047078e-03 4.291557e-01 3.370020e+00) (2.424061e-04 9.705526e-04 1.906239e-01)) ((-1.700787e-02 6.259281e-03 2.201567e-03) (3.812228e-03 2.363629e-04 -7.906181e-05))
14            	((-4.530189e-03 4.119467e-01 3.273710e+00) (2.285723e-04 1.187770e-03 1.858888e-01)) ((-1.750253e-02 5.647090e-03 1.324595e-03) (3.687857e-03 2.247976e-04 -8.200364e-05))
15            	((-1.841901e-02 3.625112e-01 3.067652e+00) (2.039429e-04 1.362564e-03 1.815173e-01)) ((-1.654191e-02 4.904216e-03 1.689592e-03) (3.575132e-03 2.174132e-04 -8.334761e-05))
