# Forces      
# CofR        : (2.875000e-01 1.270000e-01 2.286000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-2.062902e-03 -7.398184e-03 1.542306e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (3.208779e-02 1.902273e-03 4.767284e-05))
1             	((-3.683895e-01 -1.441981e+00 4.344303e+01) (-2.300005e-03 -9.614747e-03 1.678804e+00)) ((3.226748e-01 6.465848e-02 1.552229e-02) (3.522278e-02 2.046255e-03 1.974767e-05))
2             	((-6.782309e-01 -1.002242e+00 9.833759e+01) (-1.546603e-03 -9.492967e-03 1.776440e+00)) ((6.373712e-01 1.082791e-01 3.133362e-02) (3.774538e-02 2.244557e-03 -6.909189e-05))
3             	((-9.788078e-01 -4.099726e-01 1.274380e+02) (3.380958e-04 -6.127396e-03 1.807258e+00)) ((7.058678e-01 1.599972e-01 7.629534e-02) (3.908867e-02 1.780087e-03 6.987747e-05))
4             	((-1.260255e+00 -1.446594e-01 1.290603e+02) (6.942171e-04 -3.081461e-03 1.795582e+00)) ((5.476210e-01 1.827420e-01 1.243825e-01) (3.978760e-02 2.368974e-03 -1.655072e-04))
5             	((-1.511879e+00 -3.852170e-01 1.105366e+02) (1.323818e-03 -1.671914e-03 1.768543e+00)) ((2.315903e-01 1.751679e-01 1.664217e-01) (3.997617e-02 2.696833e-03 -4.173741e-04))
6             	((-1.712422e+00 -1.073217e+00 8.335195e+01) (1.696583e-03 -2.289603e-03 1.745795e+00)) ((-1.255307e-01 1.421747e-01 2.184503e-01) (4.044329e-02 3.161332e-03 -6.136658e-04))
7             	((-1.693429e+00 -1.274278e+00 6.038945e+01) (2.427958e-03 -3.313867e-03 1.734590e+00)) ((-3.873589e-01 1.187742e-01 2.598031e-01) (4.131153e-02 3.421111e-03 -6.778516e-04))
8             	((-1.507923e+00 -1.065685e-01 4.919817e+01) (3.326642e-03 -2.930528e-03 1.730626e+00)) ((-5.157027e-01 1.121371e-01 2.702380e-01) (4.240920e-02 3.565342e-03 -6.893443e-04))
9             	((-1.212999e+00 2.050893e+00 4.925159e+01) (3.334444e-03 -9.977052e-04 1.729495e+00)) ((-5.477263e-01 1.124776e-01 2.639748e-01) (4.328624e-02 3.549839e-03 -6.666979e-04))
10            	((-8.189598e-01 4.837720e+00 5.634727e+01) (3.320934e-03 1.913901e-03 1.725731e+00)) ((-5.405916e-01 1.215045e-01 2.282689e-01) (4.399044e-02 3.446671e-03 -6.543226e-04))
11            	((-4.201654e-01 7.635520e+00 6.592584e+01) (3.567266e-03 4.586081e-03 1.715213e+00)) ((-5.434379e-01 1.292160e-01 1.713980e-01) (4.441152e-02 3.438831e-03 -6.782639e-04))
12            	((-1.633546e-01 9.417263e+00 7.307730e+01) (2.972550e-03 7.259268e-03 1.700362e+00)) ((-5.627942e-01 1.293620e-01 1.078143e-01) (4.447429e-02 3.228553e-03 -6.900635e-04))
13            	((-1.635649e-01 9.877087e+00 7.510772e+01) (2.485591e-03 9.525240e-03 1.681992e+00)) ((-5.764970e-01 1.215742e-01 5.881370e-02) (4.440159e-02 3.155570e-03 -6.809208e-04))
14            	((-3.197419e-01 9.551248e+00 7.267415e+01) (1.733916e-03 1.150159e-02 1.662276e+00)) ((-5.776664e-01 1.115961e-01 4.037905e-02) (4.433821e-02 3.244542e-03 -6.668372e-04))
15            	((-5.618572e-01 8.944644e+00 6.786075e+01) (1.538855e-03 1.336231e-02 1.642384e+00)) ((-5.596480e-01 1.009416e-01 4.895953e-02) (4.423397e-02 3.300042e-03 -6.463580e-04))
16            	((-8.175646e-01 8.404222e+00 6.249146e+01) (1.535050e-03 1.524169e-02 1.623086e+00)) ((-5.271861e-01 9.298303e-02 7.726642e-02) (4.402954e-02 3.354665e-03 -6.114130e-04))
17            	((-1.028595e+00 8.227499e+00 5.831885e+01) (1.752214e-03 1.722079e-02 1.603551e+00)) ((-5.001672e-01 8.903742e-02 1.094921e-01) (4.379148e-02 3.275566e-03 -5.809166e-04))
18            	((-1.144127e+00 8.506267e+00 5.617810e+01) (2.078088e-03 1.905768e-02 1.584846e+00)) ((-4.938558e-01 8.377838e-02 1.316723e-01) (4.347085e-02 3.365186e-03 -6.103693e-04))
19            	((-1.183452e+00 9.088061e+00 5.582328e+01) (2.432068e-03 2.095821e-02 1.565811e+00)) ((-5.095125e-01 7.718035e-02 1.353969e-01) (4.305708e-02 3.470913e-03 -6.523725e-04))
20            	((-1.185814e+00 9.802126e+00 5.657204e+01) (2.614557e-03 2.276588e-02 1.546730e+00)) ((-5.391828e-01 6.865046e-02 1.234810e-01) (4.255096e-02 3.522240e-03 -6.498176e-04))
