# Forces      
# CofR        : (2.875000e-01 1.270000e-01 2.286000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-8.251608e-04 -2.959274e-03 6.169223e-01)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.283511e-02 7.609092e-04 1.906913e-05))
1             	((-5.736686e-02 -2.139930e-01 7.181607e+00) (-8.849927e-04 -3.756248e-03 6.415611e-01)) ((5.278710e-02 1.063154e-02 2.810788e-03) (1.324973e-02 8.022965e-04 7.586259e-06))
2             	((-1.103375e-01 -1.586680e-01 1.628978e+01) (-6.354887e-04 -3.525587e-03 6.462854e-01)) ((1.031849e-01 1.774946e-02 6.279071e-03) (1.329493e-02 8.992303e-04 -2.509024e-05))
3             	((-1.627576e-01 -1.022181e-01 2.112565e+01) (-2.281024e-04 -2.107886e-03 6.297986e-01)) ((1.143221e-01 2.639366e-02 1.382620e-02) (1.295983e-02 9.056769e-04 -1.821563e-05))
4             	((-2.129346e-01 -9.034356e-02 2.146308e+01) (-2.026459e-05 -1.120789e-03 6.026357e-01)) ((9.131340e-02 3.020222e-02 2.051002e-02) (1.254722e-02 9.970878e-04 -7.666371e-05))
5             	((-2.595807e-01 -1.512952e-01 1.847030e+01) (2.075717e-04 -5.899347e-04 5.746606e-01)) ((4.393263e-02 2.893697e-02 2.647170e-02) (1.214535e-02 9.177601e-04 -1.287278e-04))
6             	((-2.983798e-01 -2.906312e-01 1.402531e+01) (3.385633e-04 -6.081416e-04 5.513998e-01)) ((-1.012820e-02 2.361931e-02 3.487401e-02) (1.186197e-02 8.819459e-04 -1.702301e-04))
7             	((-2.983938e-01 -3.432424e-01 1.024477e+01) (5.287303e-04 -8.773689e-04 5.344419e-01)) ((-5.024209e-02 1.935921e-02 4.229429e-02) (1.170455e-02 8.674733e-04 -1.867249e-04))
8             	((-2.621245e-01 -1.634815e-01 8.375142e+00) (7.569105e-04 -7.800492e-04 5.221509e-01)) ((-6.981446e-02 1.830074e-02 4.464992e-02) (1.160384e-02 8.488279e-04 -1.906320e-04))
9             	((-2.066635e-01 1.937708e-01 8.349331e+00) (8.269912e-04 -2.623392e-04 5.124597e-01)) ((-7.461768e-02 1.846142e-02 4.334461e-02) (1.149428e-02 8.367322e-04 -1.918798e-04))
10            	((-1.336637e-01 6.763541e-01 9.473365e+00) (7.763954e-04 5.312827e-04 5.035406e-01)) ((-7.447864e-02 2.023260e-02 3.735479e-02) (1.135841e-02 8.049488e-04 -1.882163e-04))
11            	((-6.010800e-02 1.177992e+00 1.100069e+01) (7.760093e-04 1.348218e-03 4.940840e-01)) ((-7.710179e-02 2.223859e-02 2.753491e-02) (1.115805e-02 7.784369e-04 -1.897157e-04))
12            	((-1.245651e-02 1.516074e+00 1.212712e+01) (6.920453e-04 2.129836e-03 4.842224e-01)) ((-8.258530e-02 2.302517e-02 1.672071e-02) (1.093227e-02 7.384731e-04 -2.008197e-04))
13            	((-1.001301e-02 1.619382e+00 1.242199e+01) (5.754747e-04 2.804901e-03 4.743277e-01)) ((-8.666320e-02 2.201545e-02 8.956742e-03) (1.070072e-02 7.132269e-04 -2.087877e-04))
14            	((-3.843690e-02 1.567408e+00 1.200565e+01) (4.689176e-04 3.360176e-03 4.647259e-01)) ((-8.736849e-02 2.000336e-02 6.028034e-03) (1.049357e-02 7.086514e-04 -2.130229e-04))
